product_id,qty,amount,stock_code
153,9,23.64,44291266
151,7,29.3,21074776
126,9,54.52,80999881
141,7,77.34,51217532
169,5,73.63,75260033
130,6,5.23,79750110
128,6,53.44,27436608
127,6,8.64,48784382
124,7,58.27,76529450
150,2,17.1,23867123
139,2,52.48,67208470
195,1,76.09,61672000
134,6,35.02,61171596
155,3,17.21,8235176
126,6,89.4,59921356
116,8,81.68,31054973
140,6,56.65,88813936
132,2,30.59,27475607
127,1,18.18,94851434
188,2,48.7,84382061
193,8,66.71,32783407
172,7,55.25,91051400
154,8,54.68,18156249
117,2,28.57,86915915
132,8,71.42,58110348
153,1,90.52,44203115
106,9,11.58,37455569
109,2,58.7,5899722
180,2,80.61,6789725
103,1,78.72,43394234
148,1,92.19,95030975
147,2,72.59,92502895
122,7,69.06,696265
129,9,96.16,22210302
126,6,47.6,24328289
192,6,66.37,52367892
162,2,55.63,65419939
190,6,75.2,65565438
123,3,70.09,16903722
140,5,50.5,5369072
144,8,31.32,60970251
178,1,36.12,72911433
194,3,71.99,9406766
170,9,84.81,28242697
183,9,86.56,87044591
126,8,70.5,15095060
197,7,72.48,83866012
121,2,41.55,50779703
171,6,10.07,85386105
160,6,64.55,63845839
132,7,43.07,77923974
191,6,98.27,74042067
193,2,64.18,60399892
119,5,81.65,1068467
179,9,39.78,5092543
197,7,35.45,14687471
100,4,14.4,41679265
185,8,15.83,82736675
179,3,49.61,46089922
109,6,47.47,17315982
135,5,29.25,83821073
124,1,94.72,22822390
177,2,35.89,98441785
123,6,94.91,84125149
152,1,96.01,74537327
152,8,37.85,52482199
145,3,69.95,64249605
102,4,81.86,54067998
116,3,64.71,37872823
157,9,43.57,35218555
117,7,70.81,84679833
197,8,24.23,99983109
190,3,61.48,92392205
115,8,93.58,27499733
142,5,40.83,33348278
117,7,64.26,62085809
144,5,86.42,40368559
120,4,18.65,19067988
126,6,41.95,85144118
155,6,50.36,54867055
147,6,21.78,94316469
183,3,64.37,32478389
191,9,30.67,92011922
102,1,84.19,38550232
181,2,44.93,72657560
164,5,49.93,87584042
178,7,91.37,31100984
138,3,18.31,63743302
193,1,91.12,79173445
189,3,67.54,96363416
197,1,71.11,4228585
123,4,33.1,95286198
125,5,51.4,83641411
195,3,91.74,5815401
112,5,50.34,16105553
176,5,36.73,64872926
154,3,27.66,10770191
141,8,56.33,92848061
183,5,53.94,9147294
180,5,24.32,78527294
193,1,69.95,36644186
161,3,14.09,82941956
172,2,63.15,64662251
125,4,44.66,72978238
192,9,15.77,49138122
196,8,91.41,22125415
145,3,22.97,12893850
138,2,8.98,32729733
104,4,96.44,59031154
148,7,44.15,45371493
116,2,92.11,1544428
190,9,35.53,5600106
137,6,97.47,66178620
160,9,83.76,99153397
109,3,62.19,38643989
105,2,34.8,8257666
118,9,75.95,13061326
118,8,97.3,60145444
194,2,67.87,21488184
178,5,17.65,7029943
126,4,66.2,69149900
154,2,58.41,22255150
159,7,46.44,4473459
177,9,92.32,59157267
150,5,29.14,81929634
109,7,96.9,14047183
101,9,31.6,10608173
165,7,20.59,45507540
109,6,67.13,98839902
145,6,79.48,5741984
131,8,54.95,9150300
115,6,80.53,77378163
142,4,68.06,38411472
138,3,13.9,9653306
129,9,94.02,6435080
193,5,93.12,81406050
171,2,55.1,14406096
173,2,74.36,8397133
139,4,63.46,84040459
183,4,35.36,53959324
141,7,35.69,34970898
139,1,43.62,49933437
154,4,89.33,63996494
179,8,88.83,76545108
145,5,48.35,34189306
170,9,21.99,1508628
141,7,56.12,31997591
104,8,28.24,41642733
151,9,18.53,19666266
112,2,82.39,76211645
145,1,99.33,73037095
181,3,59.91,57762302
139,8,8.31,92330917
152,7,34.61,14167065
181,9,20.39,7649097
101,6,18.71,26308524
121,3,24.67,57365275
138,5,66.13,76011085
137,9,50.59,36985401
154,1,77.77,62784450
168,1,9.88,22100313
173,2,76.31,79543866
139,4,7.63,55481823
103,1,33.35,51255541
110,5,44.67,93237659
167,6,93.01,45879784
151,5,30.6,51188993
179,1,98.79,98827589
121,4,45.96,50224227
194,7,91.08,53429650
153,4,46.11,30941649
153,9,7.59,95664767
140,3,48.41,19041247
104,3,50.75,86278324
145,4,56.34,46189394
183,6,80.77,6912062
122,6,49.17,74003259
144,4,50.03,64432915
195,9,18.63,86029254
188,2,94.8,43276783
149,6,86.96,76309199
132,2,82.28,61701328
108,8,47.89,27526538
104,6,29.12,45120923
173,7,97.54,28359142
140,2,38.9,2633572
199,2,55.05,25513066
142,7,90.46,93075343
172,7,66.51,21514586
120,9,38.13,29078592
194,6,78.81,6092313
174,8,35.89,72891674
158,3,11.63,10383148
136,3,70.07,20796952
157,1,38.53,16479821
184,9,43.86,88798448
124,4,67.2,68624712
161,4,87.94,22776495
152,9,61.78,29594702
157,1,8.22,26428314
147,1,62.08,91255808
125,8,6.32,4421610
157,1,39.04,64908298
165,2,36.41,93799003
176,5,15.15,49797190
120,9,56.22,33164014
141,6,85.61,54053861
196,2,26.2,60959034
153,7,77.21,29625222
104,3,70.43,9483675
118,4,35.92,11758174
105,4,52.02,51131494
111,7,38.31,74942060
160,1,61.97,87731170
154,6,56.35,60686749
179,9,20.64,62307260
104,7,45.93,67304110
196,6,26.36,35496366
178,6,88.94,80413028
123,1,40.11,57252704
150,7,46.06,64859323
142,2,83.53,50548460
193,7,9.29,71903309
160,5,9.53,81315864
105,4,66.66,71014760
184,1,89.16,93322928
158,3,40.3,9315136
189,4,80.31,11817352
111,9,39.46,54439559
148,2,26.1,79193436
187,9,60.89,41578148
169,2,11.78,55365666
155,4,12.43,6668631
111,1,31.75,92662872
109,5,80.23,29910731
115,1,38.52,52906343
108,9,85.1,79091244
175,8,5.73,85563872
176,2,50.66,50213603
163,8,45.89,37352240
183,4,42.31,81246458
124,6,24.68,61875876
142,2,64.31,25597226
190,8,36.56,47711297
141,4,52.31,35077688
180,6,14.11,82265274
172,3,50.91,49513479
156,2,22.52,99533038
107,3,63.58,60061324
108,8,50.58,43934638
146,5,37.04,95708782
120,5,51.8,85565685
189,4,49.77,88819839
106,2,59.18,46435200
128,8,50.15,3788509
138,6,77.24,42376
138,1,33.55,34309858
173,4,33.61,57077994
138,4,14.06,56340556
129,5,87.58,28634362
176,8,65.05,71641089
137,6,70.45,74839742
158,3,60.66,76005473
166,5,46.77,4408109
145,9,80.59,94863079
151,6,18.9,27038086
118,9,74.71,91603722
111,8,15.99,7765834
191,5,14.4,93707459
132,1,8.85,15516046
158,8,34.74,8303
146,7,96.5,68274931
136,7,49.49,31949484
108,5,51.66,19827414
154,2,94.93,99831479
160,1,44.7,23878150
184,2,18.54,21699504
143,2,7.07,5391523
128,2,46.55,87360622
188,8,31.82,62137416
168,7,89.22,6827656
137,9,22.78,88966403
117,6,70.44,30313514
196,3,82.92,49171266
189,6,53.45,58677353
155,3,40.92,52552755
119,9,90.33,36475506
145,5,9.48,95438146
168,6,95.89,52451881
141,3,80.52,60858313
116,6,28.35,69618826
153,5,56.46,18784640
145,4,52.62,7659164
103,8,94.11,51649654
152,4,16.8,37103873
121,1,66.4,96800447
174,7,27.88,45776953
150,7,74.01,39072719
103,2,72.1,41034507
154,6,30.72,39708038
102,3,22.14,43134168
136,1,26.03,71221434
164,8,30.72,77844156
189,7,64.96,61063365
160,3,45.9,90978463
161,3,6.53,23553026
109,7,83.96,61281752
114,7,28.78,41012383
119,2,18,61394957
190,8,6.19,98141180
190,8,56.56,47461086
118,4,15.45,29387366
108,5,41.69,18163384
156,8,93.72,26447995
111,3,73.28,12466405
145,8,64.68,50241125
163,8,76.44,83392443
152,9,92.99,47360143
120,6,35.18,55218993
128,7,12.55,41444139
122,9,99.47,77505033
102,3,25.69,37262082
143,8,98.25,70992359
174,4,47.63,3369685
163,4,56.13,37599362
182,5,55.9,66800019
144,3,49.13,98990665
131,6,28.43,98506446
172,4,64.94,60628954
156,2,35.09,64496467
136,7,30.47,64331157
171,5,19.03,28558750
126,3,22.78,68469818
104,4,99.85,28225713
116,3,78.03,11621294
141,8,22.83,3807019
189,2,23.2,46700247
189,9,10.82,14391613
122,3,39.06,31063364
187,9,56.3,406697
167,8,61.63,17301589
169,8,31.86,70832747
136,4,27.92,8081797
105,4,30.3,40520063
161,4,13.7,95365688
102,6,33.5,1031294
103,8,92.92,48183109
102,8,73.48,29235100
181,3,73.2,50692224
135,6,21.75,232555
137,3,38.42,6983758
120,8,97.96,24488440
107,3,39.57,50368136
191,2,72.21,82678081
167,3,44.25,59556954
178,1,21,2143767
194,6,36.42,86781367
125,3,66.49,71015606
123,5,40.81,85951341
144,7,72.01,95641065
165,9,6.52,53491152
111,2,47.46,62893794
187,4,33.81,49208979
184,9,96.17,33884240
159,2,40.7,4528241
109,4,12.86,64966151
169,4,23.47,14098284
176,8,68.13,69180149
130,3,72.16,43331031
151,8,30.97,44673079
118,1,86.94,27776612
125,6,76.52,5537969
142,5,12.41,20851422
110,1,57.28,66526278
182,3,29.77,22483720
137,7,53.68,18446272
149,7,88.45,96678145
136,7,14.91,59858591
156,7,74.62,13915773
179,7,74.06,71746746
151,4,8.47,89278741
110,6,34.77,67859139
143,6,8.8,70568332
178,6,24.59,13454821
136,4,50.52,13035969
181,8,76.5,43314133
184,7,51.02,45023699
188,5,70.09,66327318
138,8,84.96,68781842
110,6,79.07,13631932
124,3,5.06,23645721
173,4,77.37,80964360
175,7,86.04,45010781
167,2,41.39,85938328
168,3,80.88,77771339
193,9,57.45,30667617
156,1,56.91,19734392
191,5,26.77,23297388
133,2,31.75,55452953
199,1,59.2,71400747
179,3,57.86,9816657
191,2,13.41,3837382
166,3,22.76,9934788
148,5,66.63,18386097
127,6,87.59,48182393
165,9,34.63,48104456
164,3,60.11,11880882
166,8,65.74,28476306
135,9,66.64,54732896
125,3,23.35,39662231
183,3,8.49,29435265
118,4,56.44,93044875
181,5,62.7,99224868
115,7,72.59,262965
144,6,88.02,93425636
189,2,76.08,34815168
189,2,70.95,76716287
153,9,70.23,11661504
184,4,7.18,82993993
197,5,28.01,30448179
144,1,68.69,3849927
153,7,23.08,21381003
196,2,44.7,18416206
108,9,90.44,62570299
147,3,21.22,83432675
132,5,98.9,16513549
182,8,26.71,88641959
132,2,43.11,79778268
107,7,39.59,67399062
196,5,65.88,2959948
118,3,38.19,6474850
139,4,55.07,86049764
161,8,72.41,94917178
161,1,35.6,69965630
154,9,57.3,46645555
146,7,64.87,92782501
199,3,56.19,70275650
103,2,29.36,90859205
165,2,68.9,29399345
130,1,97.24,52565526
199,1,90.62,63623581
142,2,87.13,94628784
184,6,98.98,38363764
186,5,99.8,73078739
107,4,77.42,96680216
143,4,5.29,49111132
154,1,74.62,88310022
159,3,87.56,47107991
193,2,10.84,91488039
124,3,26.57,31600712
153,5,54.24,8567611
103,8,83.23,19583471
180,3,71.74,9211346
188,1,81.3,15460493
164,8,11.02,74935055
143,7,10.45,77087027
163,2,63.68,22193131
181,4,71.09,1629156
110,4,67.27,8834492
123,3,78.09,57405780
133,2,91.9,61987920
144,6,38.67,10258187
141,7,71.8,7895913
188,7,64.79,75444525
132,1,5.44,40095646
176,3,23.56,92004900
167,6,60.49,22356314
137,4,21.05,69766169
167,3,48.23,58571125
195,1,37.3,68859732
100,3,10.99,26541778
165,8,18.05,57476759
112,6,35.11,71597188
196,9,72.05,88486802
123,5,25.72,29314300
179,9,41.07,20702731
165,5,70.01,65820384
133,2,11.48,48722223
139,3,24.63,52150616
167,6,18.53,39155146
150,9,49.66,66776253
163,7,60.05,28007111
135,6,6.51,81699056
196,2,67.97,82025687
169,4,53.12,68921996
127,2,69.23,61607576
191,5,70.21,52894725
158,4,75.2,63569551
131,6,38.21,34092361
137,8,19.67,37730536
168,1,86.41,96679104
195,7,74.18,9122796
191,8,76.81,54071490
185,3,27.53,65122884
160,7,59.32,8801203
163,6,78.57,74028290
126,6,97.65,3734315
158,3,32.29,84637406
120,6,49.81,88862996
141,9,93.42,77369222
159,7,52.14,39890559
134,8,10.35,17634304
169,9,33.3,25106756
194,3,86.64,30751507
136,6,48.36,80781158
162,2,65.08,17674850
164,3,59.76,79677882
127,6,89.78,21929328
158,4,36.76,64567327
194,3,49.51,88930466
173,3,53.74,9969414
113,5,67.76,14120428
159,2,61.61,87308297
171,8,95.84,55022583
154,9,22.64,4309529
162,5,34.98,8372918
158,9,76.69,40350417
197,8,20.2,68283629
112,1,52.05,53981615
116,1,24.94,85825604
105,2,26.19,91890467
193,1,25.49,27995310
197,9,10.97,91723604
141,1,39.39,10182062
132,5,84.4,41045558
169,7,70.08,61385276
124,1,68.25,15014917
153,3,60.58,39148568
126,4,30.35,34042397
199,3,37.45,83666810
163,7,61.93,66796961
129,3,95.48,97520801
182,8,33.74,69086311
102,7,24.06,60127600
193,4,19.1,72040126
192,6,84.42,23141421
173,5,93.05,73458593
150,5,7.81,13905248
103,3,66.36,72290620
174,8,45.84,45209109
170,1,38.15,6978228
113,8,14.21,30894297
144,4,32.25,10700112
168,3,50.64,54552456
177,7,43.94,12435661
187,9,87.49,8794772
199,9,51.77,91572653
187,3,88.43,61214583
167,5,37.39,83109126
171,2,82.15,31349369
115,7,51.25,59321132
112,6,97.41,86789981
129,8,94.64,20648848
102,5,70.12,62485456
185,4,33.26,40003412
122,6,87.64,66089292
186,3,50.88,83521416
140,6,8.61,13120658
194,2,9.93,57561332
179,7,70.6,8795274
152,9,70.07,51757229
122,9,43.62,8904171
184,2,62.88,29894888
199,5,32.02,30618558
122,6,22.6,26514871
177,4,80.6,15937407
190,4,17.11,29661091
178,5,7.62,7025310
138,1,29.66,22862914
118,6,56.24,52377044
111,2,16.57,96448885
190,7,46.15,67679553
111,9,30.74,10393062
192,9,52.8,94920499
115,5,57.66,281102
120,2,8.35,42122302
180,8,98.56,61584150
104,8,97.25,43620258
149,8,90.65,38141102
164,6,49.61,88259116
137,1,29.14,78730717
159,7,34.45,58921043
189,1,83.71,67284689
149,1,88.71,14400681
108,9,10.7,52905919
164,8,80.64,48904445
163,5,26.42,32348026
163,4,47.26,27991800
118,9,49.41,37633349
144,2,71.43,41381694
183,6,37.48,90389818
119,8,57.37,36022687
156,5,80.28,3869802
153,9,56.2,86834544
101,1,40.34,76463891
139,3,84.99,75592172
125,2,54.22,63372076
150,5,30.18,77812018
178,5,67.62,35317579
175,6,96.79,39893369
149,4,93.26,82260743
149,1,80.55,70813678
139,3,22.94,4696582
122,2,69.8,16668003
178,5,16.57,14502125
171,7,56.35,91787811
103,2,41.31,15976680
144,4,34.31,40118154
104,2,26.65,82996468
186,1,62.34,57540870
102,4,30.45,93271738
111,7,5.38,42134640
144,3,35.56,28785613
130,7,50.36,7939839
161,5,31.32,29384433
131,6,31.39,90265075
187,6,60.83,42731054
180,6,48.58,92628106
159,6,77.62,16549647
137,2,50.87,75537692
117,2,40.42,28508328
172,5,58.32,54792494
134,3,59.18,84256751
154,8,58.83,66576969
149,4,98.74,97999003
184,1,84.33,48821315
178,8,85.32,51925215
129,4,89.08,25009019
187,8,6.69,68811921
144,3,82.13,41663462
162,6,23.49,43770779
197,7,71.65,98127931
178,6,70.39,7642807
167,8,78.99,50538508
117,9,74.21,58562369
128,7,82.88,51136703
111,8,73.98,35248873
165,7,38,17743723
130,8,54.99,276603
111,2,99.26,21312144
138,7,89.3,49058147
128,7,83.29,61596634
123,8,76.43,60768087
139,4,7.49,97508021
126,4,60.55,89480915
172,6,99.07,45085895
130,8,12.43,43337026
164,1,93.68,25556612
120,7,39.83,66922698
143,5,14.23,3715185
183,6,82.05,45494796
151,1,14.12,27880517
142,7,6.46,84081230
118,8,38.34,13560461
182,1,99.62,2667010
139,1,16.26,76051586
177,1,26.06,21443763
173,3,24.96,7854316
156,8,75.88,72102732
172,2,42.42,23828421
145,9,65.74,45240331
113,5,37.88,67728961
125,8,30.03,52358449
146,9,94.32,765183
130,7,38.73,7983696
124,3,26.1,21061394
118,9,24.92,21441608
112,8,69.38,99698379
142,5,6.14,70873634
148,2,82.8,81875610
152,2,60.32,97146155
172,5,41,64185880
111,1,29.81,93187381
132,6,21.69,91621443
193,1,56.75,68193157
192,4,37.37,32214543
111,7,53.58,32134117
142,8,14.24,67487929
104,3,66.8,99362508
116,6,97.73,46663726
197,4,16.6,2356778
195,7,72.44,54832718
144,7,77.69,9014732
177,4,68.25,19524863
162,9,73.8,64478418
125,8,7.62,11698074
129,7,19.89,72616871
163,7,34.52,61016163
186,1,20.21,54832039
131,3,55.47,22519757
138,6,23.88,21606007
131,8,42.95,53488121
185,1,7.81,39933911
190,8,45.35,49276183
136,6,97.6,45846212
108,3,8.28,21612992
131,3,63.38,67396283
183,7,53.49,82683269
199,8,11.17,25405699
160,6,84.82,15665249
110,8,80.45,37375942
113,5,31.8,11898009
150,5,60.08,23500143
128,4,73.26,90095818
101,3,11.43,48908290
178,5,86.26,63532265
102,9,62.48,20198244
164,9,69.57,24962575
126,3,59.94,45713132
145,6,23.93,41301319
172,3,32.8,79552950
158,1,56.08,60514905
100,9,18.79,89339008
173,5,6.97,56453867
179,9,48.96,76408021
184,3,95.26,88251974
167,5,5.91,99336165
179,6,40.1,86678223
134,7,19.11,67544172
130,1,68.96,53002242
191,6,97.3,45286117
134,9,6.78,94725117
163,8,6.72,91406835
156,4,52.06,79762625
196,7,31.82,80099123
147,7,98.99,35756156
185,3,71.57,85252448
138,4,11.19,75965440
182,9,93.64,37801113
114,2,39.67,97768623
101,3,29.3,42702733
145,8,31.82,74751242
161,3,72.14,88400839
127,5,75.5,35063322
105,2,40.76,88409443
170,2,67.08,14492433
121,6,60.79,12220373
162,8,50.9,23573444
187,8,71.71,22805478
135,6,76.44,81677016
100,6,11.59,22251879
170,7,6.6,94792454
161,1,33.82,34701188
119,1,7.37,87701722
113,3,88,82397524
166,5,16.04,79268295
162,5,24.79,70566161
176,4,48.24,64672267
139,2,28.88,16296152
102,1,22.67,55942249
124,8,67.16,56786378
169,2,93.68,39574206
195,3,29.65,61332539
170,2,26.59,80760924
195,1,77.1,26963303
145,1,23.27,31841214
151,9,8.07,84591685
136,5,87.49,53106216
101,5,46.37,56153620
175,8,85.4,27852729
104,7,21.44,26063423
138,6,31.83,23198937
102,8,88.07,23653023
195,7,89.01,88856155
150,7,83.1,67110070
174,8,27.09,65736654
120,8,44.43,3221174
138,3,70.93,82717995
128,3,82.23,60611635
122,7,92.45,64435138
115,6,28.19,60092212
185,7,35.49,4334286
112,8,27.19,74549061
142,8,30.29,87233490
160,3,72.75,83796173
182,9,51.36,87487794
116,1,8.64,20181925
127,2,13.82,42326373
187,4,35.56,24734943
196,1,52.86,87055306
108,8,21.79,88023038
108,3,23.56,52676796
115,9,19.72,17306706
165,4,10.88,44619497
112,8,83.93,51360450
112,5,6.3,18427004
141,5,19.14,35126027
104,3,62.66,72647325
123,2,50.73,29417391
111,4,67.62,39068453
179,5,84.19,28567073
126,1,72.44,18303735
178,4,94.07,98073795
110,8,69.51,43389704
116,9,97.83,46996053
108,1,76.55,821032
145,1,32.29,34684733
109,4,40.03,8645104
188,3,34.19,48634656
108,8,26.3,77738998
118,2,34.8,10195451
167,9,45.48,24545518
158,5,8.41,27259894
176,4,90.77,22296337
152,2,52.99,39366610
115,9,19.25,54610262
169,7,37.19,74558865
110,9,82.35,67708284
122,3,5.05,41098349
143,7,27.63,97035848
130,9,81.5,44134822
132,2,41.54,43737833
156,5,87.92,813372
141,1,56.85,90906640
184,7,64.07,47305045
195,3,47.52,69609763
105,6,80.88,12496891
177,2,57.66,79936750
112,5,86.75,56513189
118,8,83.04,10185780
183,2,8.22,80319115
156,8,42.36,8600691
148,8,26.96,42818700
147,8,56.22,46061652
101,3,46.57,4542308
190,4,94.72,47477391
168,5,73.58,45613890
197,4,77.78,4007289
177,4,86.42,11476429
162,8,43.91,72436011
101,6,22.98,19393155
141,4,9.2,7736582
142,8,67.85,19145259
147,1,45.41,41647783
169,8,83.24,13342913
171,7,72.86,83779046
117,9,84.84,19298115
103,1,21.03,66068587
120,3,22.37,38316012
127,8,6.02,28859321
111,5,52.78,95945194
173,4,73.13,75245184
160,5,14.16,71666242
185,1,98.31,13294427
176,5,20.15,1331233
166,2,78.22,52136801
114,6,39.04,2717173
175,6,14.51,92944930
106,7,13.08,22880963
156,8,55.81,38369254
112,6,17.58,11524915
151,2,65.93,57807522
151,3,50.51,11518426
159,7,10.49,34615195
100,2,10.42,31264754
121,3,7.41,17049788
135,7,50.14,23154797
159,4,9.86,35407799
121,9,24.52,95049496
162,9,54.08,68896379
143,8,42.12,26091686
160,4,7.94,86671026
130,7,82.9,76155574
112,3,24.75,49074789
148,3,29.89,99879204
170,1,86.07,86089401
126,7,49.88,59837978
142,2,82.49,92842243
123,2,34.05,86244121
118,2,86.72,56408928
192,2,42.73,17047517
104,8,73.38,77604088
191,7,82.21,230551
120,6,97.57,55641654
144,9,20.82,25746761
115,3,21.17,11340584
163,8,21.6,57986418
120,1,89.86,74069675
189,1,79.81,34447024
127,1,23.79,15512338
179,6,42.61,99866280
175,8,98.05,45596049
169,3,53.27,40745725
176,5,79.67,33103587
191,3,92.59,17814102
109,2,45.62,346184
119,5,99.46,87047318
132,7,43.26,48330473
164,8,27.49,70622393
144,6,90.42,94475029
185,8,36.27,81308392
189,5,70.62,58357965
115,7,10.4,67310517
195,6,81.29,53313478
171,6,40.39,80532781
191,2,56.54,86101011
153,6,34.23,41908853
169,8,57.38,94232325
184,5,70.15,25207149
119,3,93.75,3286104
167,2,74.07,59543350
182,3,85.12,25261448
140,4,60.79,92074828
189,4,5.98,15598790
162,1,65.47,17762342
142,2,53.79,17407953
117,3,57.99,11016502
103,1,26.57,93162739
109,9,87.09,37481704
121,2,23.21,83429590
162,9,54.44,33548951
124,4,64.23,78776050
115,3,37.7,93302722
128,2,89.84,5848812
129,3,44.87,41429921
187,2,59.64,76671999
186,2,57.8,51297251
151,8,43.87,1896039
127,2,38.12,96008959
160,6,76.39,18905106
192,7,80.46,27595510
121,1,28.78,19758459
192,7,54.72,31004954
165,4,94.09,83735677
171,8,6.78,94676389
107,8,12.98,14735141
165,7,25.7,23692862
188,1,27.54,23705555
130,7,54.37,49040302
164,9,42.74,31377713
162,4,99.89,72054260
175,9,54.27,18845167
174,6,85.59,87543551
113,8,81.48,43693870
153,2,31.48,71969718
133,1,25.57,46268624
136,3,45.17,23729261
174,6,55.14,73085577
189,7,18.18,50985890
175,9,56.81,51654177
192,8,90.12,60077912
139,8,92.32,79657488
164,4,66.76,40284507
165,4,39.45,73583660
117,9,80.99,23327474
154,1,16.47,23586086
110,7,56.23,67658046
169,7,63.53,75614423
174,4,10.75,32654424
180,8,55.33,11271901
150,9,16.11,17115063
145,5,47.12,93406611
127,1,5.47,75989224
182,8,8.06,68994358
179,1,81.52,60325570
165,7,26.31,47973756
102,9,87.05,87680317
177,9,28.8,40606606
159,3,17.43,40960784
178,4,63.42,48449113
158,8,57,1610802
106,1,48.91,49152357
153,8,55.97,2790374
159,3,94.4,96488256
100,3,30.58,5373772
140,2,76.5,89980200
177,5,17.96,62181303
100,2,99.36,92417144
164,6,66.36,70631449
124,9,61.7,23868519
198,2,7.81,87838749
195,1,85.28,93990370
114,5,27.6,59841678
104,9,42.42,43506347
124,1,29.48,62926379
112,8,56.04,66913948
138,8,69.33,76419669
115,8,33.65,48369862
146,8,67.88,32515459
179,7,33.7,15622143
188,3,59.72,86005081
158,6,9.34,70821055
100,7,61.63,4405801
102,4,84.46,71289700
172,1,82.89,60442710
153,4,25.76,12415274
150,8,7.56,47490826
160,3,56.59,76691638
190,3,24.53,3446607
158,8,79.79,84316448
158,9,38.96,55640114
175,8,20.27,48400077
149,4,91.68,47938328
196,5,48.79,87368994
121,1,76.42,95907093
166,8,90.86,18001242
185,5,98.45,59180104
152,6,72.06,81496266
187,5,11.06,74961924
188,4,85.88,79268189
171,6,72.28,17155403
176,1,96.45,68020576
164,9,50.64,73568773
160,3,28.86,8562401
142,3,32.9,73711117
153,7,62.51,47867772
145,3,75.15,68330255
186,9,80.78,62124065
110,6,51.72,74311590
186,4,51.03,48103961
140,9,91.14,71483757
113,3,87.68,57860084
130,9,47.34,13569648
180,8,37.72,26803944
129,8,99.14,5395798
179,7,48.15,51848798
195,6,74.32,94663044
182,9,26.8,61755857
101,1,23.17,54815445
102,9,52.95,87220186
173,3,90.48,560214
147,6,57.44,90962110
112,5,65.75,75460334
117,7,95.58,48768962
113,4,36.72,43565856
125,2,64.18,2909127
161,4,16.15,86125925
186,7,34.05,88233147
152,5,32.49,9086111
151,4,73.3,53608130
100,5,43.15,70255775
188,6,5.57,56579451
131,2,70.48,25527001
153,1,10,76315640
196,6,95.48,52396663
183,4,85.54,40061924
186,3,61.25,88880075
144,7,94.74,7602443
129,3,91.1,92576162
156,9,50.95,41930755
114,1,76.23,5940127
131,2,51.85,33121994
115,2,29.43,25012897
117,7,47.24,51057824
170,7,74.14,68228743
152,2,96.95,45082771
159,3,95.9,3090367
107,4,49.64,75016593
170,6,87.48,3241677
154,4,44.89,33371337
139,4,75.58,7029233
105,2,19.26,51556020
154,3,77.62,72396360
135,5,43.55,53037961
